Nome,Nº Quartos,Nº Casas de Banho,Nº Estacionamentos,Área Útil,Área Terreno,Certificado Energia,Finalidade,Tipo de Imóvel,Estado,Preço de Venda,Distrito,Concelho,Freguesia,Coordenadas,Referência,Infraestruturas,Tipo de modalidade,Zona,Constituição,Sistema de abastecimento de água,Caixilharia das Janelas,Climatização,Domótica,Edifício,Garagem,Vistas,Exposição Solar,Segurança
Prédio,,,,750,,Cert.Energ.: C,Venda,Prédio,Usado,1.250.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",260200109,,,,,,,,,,,,,
Apartamento 3 quartos,3,2,1,122,,Cert.Energ.: C,Venda,Apartamento,Usado,75.000 €,Braga,Braga,Braga (São Vicente),"41.6,-8.7",260200108,,,"Acessos: Bons; Centralidade: Centro da Cidade; Proximidade: Bancos, Bombeiros, Centros Comerciais, Escolas, Farmácia, Hospital, Jardins, Jardins Infância, Padaria, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 5; ,,,,,,"Eletricidade, Portão Automático; Local: Cave; ",,"Nascente, Poente; ",
Apartamento 2 quartos,2,1,,100,,Cert.Energ.: D,Venda,Apartamento,Usado,138.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),"41.5487267,-8.4214409",314200115,,,"Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Padaria, Serviços Públicos, Supermercado; ",Nº Frentes: 2; Nº Pisos: 4; ,Companhia; ,"Dupla, Vidro Duplo; Estores: Eléctricos; ",,Gás Canalizado; ,Tipo empreendimento: Habitação; Pavimento: Tijoleira; Paredes: Pintadas; Tecto: Estucado; ,,"Jardins, Rio; ","Nascente, Poente; ",
Apartamento 2 quartos,2,2,1,118,,Cert.Energ.: D,Venda,Apartamento,Usado,156.000 €,Braga,Braga,Braga (São Vítor),"41.6666667,-8.3166667",285200050,,,"Proximidade: Bancos, Centros Comerciais, Clínica, Escolas, Farmácia, Ginásio, Jardins, Jardins Infância, Polícia, Serviços Públicos, Supermercado; ",Nº Frentes: 2; ,Companhia; ,,,,"Tipo empreendimento: Habitação, Lojas; ",Local: Cave; ,Panorâmicas; ,"Nascente, Sul; ",
Moradia em Banda 3 quartos,3,3,2,350,,,Venda,Moradia em Banda,Construção,450.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200114,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Farmácia, Ginásio, Jardins, Padaria, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 2; ",,"Aluminio, Vidro Duplo; Estores: Eléctricos, PVC, Térmicos; ",Ar Condicionado: Completo; ,"Estores Eléctricos, Video-Porteiro; Aspiração Central: Completo; ","Isolamento: Acústico, Térmico; Revestimento Exterior: Cerâmica, Monomassa; ","Água, Eletricidade, Luz, Portão Automático; Local: Cave; ",,"Nascente, Poente; ",
Moradia em Banda 3 quartos,3,4,2,133,400,,Venda,Moradia em Banda,Construção,375.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200113,,,"Acessos: Auto-Estrada, Bons; Centralidade: Centro da Cidade; Proximidade: Centros Comerciais, Escolas, Ginásio, Padaria, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 3; Nº Pisos: 2; ",Companhia; ,"PVC, Vidro Duplo; Estores: Eléctricos, PVC, Térmicos; ",Painel Solar; Ar Condicionado: Completo; ,"Churrasqueira, Escritório, Estores Eléctricos, Video-Porteiro; Alarme: Completo; Aspiração Central: Completo; ","Tipo empreendimento: Habitação; Isolamento: Acústico, Térmico; Equipamento: Gás Canalizado; ",,,"Nascente, Poente; ",
Moradia em Banda 3 quartos,3,3,2,350,,,Venda,Moradia em Banda,Construção,450.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200112,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Farmácia, Ginásio, Jardins, Padaria, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 2; ",,"Aluminio, Vidro Duplo; Estores: Eléctricos, PVC, Térmicos; ",Ar Condicionado: Completo; ,"Estores Eléctricos, Video-Porteiro; Aspiração Central: Completo; ","Isolamento: Acústico, Térmico; Revestimento Exterior: Cerâmica, Monomassa; ","Água, Eletricidade, Luz, Portão Automático; Local: Cave; ",,"Nascente, Poente; ",
Moradia em Banda 3 quartos,3,3,2,350,,,Venda,Moradia em Banda,Construção,450.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200111,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Farmácia, Ginásio, Jardins, Padaria, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 2; ",,"Aluminio, Vidro Duplo; Estores: Eléctricos, PVC, Térmicos; ",Ar Condicionado: Completo; ,"Estores Eléctricos, Video-Porteiro; Aspiração Central: Completo; ","Isolamento: Acústico, Térmico; Revestimento Exterior: Cerâmica, Monomassa; ","Água, Eletricidade, Luz, Portão Automático; Local: Cave; ",,"Nascente, Poente; ",
Moradia em Banda 3 quartos,3,3,2,350,,,Venda,Moradia em Banda,Construção,450.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200110,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Farmácia, Ginásio, Jardins, Padaria, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 2; ",,"Aluminio, Vidro Duplo; Estores: Eléctricos, PVC, Térmicos; ",Ar Condicionado: Completo; ,"Estores Eléctricos, Video-Porteiro; Aspiração Central: Completo; ","Isolamento: Acústico, Térmico; Revestimento Exterior: Cerâmica, Monomassa; ","Água, Eletricidade, Luz, Portão Automático; Local: Cave; ",,"Nascente, Poente; ",
Moradia em Banda 3 quartos,3,3,2,350,,,Venda,Moradia em Banda,Construção,450.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães","41.5268416,-8.4117608",314200109,,,"Acessos: Auto-Estrada, Bons, Transportes Púb.; Centralidade: Centro da Cidade; Proximidade: Bancos, Centros Comerciais, Clínica, Farmácia, Ginásio, Jardins, Padaria, Serviços Públicos, Supermercado; ","Cave, Nº Frentes: 2; ",,"Aluminio, Vidro Duplo; Estores: Eléctricos, PVC, Térmicos; ",Ar Condicionado: Completo; ,"Estores Eléctricos, Video-Porteiro; Aspiração Central: Completo; ","Isolamento: Acústico, Térmico; Revestimento Exterior: Cerâmica, Monomassa; ","Água, Eletricidade, Luz, Portão Automático; Local: Cave; ",,"Nascente, Poente; ",
