Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Moradia Geminada T3+1 em Braga,15337986,,275 000 ,764 ,Braga (distrito),Braga,"Celeirós, Aveleda e Vimieiro",,T3,3,360 m²,,2020,A+,,,True,,,,,,,Em construção,,,,,não,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia em Banda T3 em Palmeira,15199439,,230 000 ,1 420 ,Braga (distrito),Braga,Palmeira,,T3,,162 m²,,2020,Isento,,,True,,,,,,,Novo,,,,,não,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento Novo T3 em Real,15135292,,165 000 ,1 250 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,T3,1,132 m²,,2020,A+,,,True,,,,,,,Em construção,,,,,não,True,True,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2 Centro Histórico em Braga,15072734,,175 000 ,1 458 ,Braga (distrito),Braga,São Vicente,,T2,3,120 m²,,,,,True,,,,True,True,True,True,Renovado,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia de Luxo, Panoias",15292199,,320 000 ,1 658 ,Braga (distrito),Braga,"Merelim (São Paio), Panoias e Parada de Tibães",,T3,,193 m²,,2018,A,,,True,,True,,,,,Renovado,,,,,não,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T2 + 1 Renovado,15384534,,136 000 ,1 295 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,T2,1,105 m²,115 m²,,,,,True,,,,,,,Renovado,,,,,não,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T3 Nova em Lamaçães, Braga",15381496,,297 500 ,1 534 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",Rua do Moinho,T3,4 ou mais,194 m²,277 m²,2020,B,True,True,,True,,,True,True,True,,True,,,,,,,,True,,,,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1 - Cividade - Braga,15023391,,125 000 ,2 092 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,T1,,"59,75 m²",,2020,,,,,,,,,,,,,,,,não,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnífico T3 em pleno centro da cidade,15169479,,260 000 ,1 625 ,Braga (distrito),Braga,São Victor,,T3,2,160 m²,,,,,True,,True,,,True,True,True,Renovado,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 Cobertura Novo,15381374,,387 000 ,2 048 ,Braga (distrito),Braga,São Vicente,Rua de São Barnabé - São Vicente,T3,2,189 m²,149 m²,2019,A,True,True,,,,,,,True,Novo,,,True,True,,,True,,,,True,,,,,,,True,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
