Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Latitude,Longitude,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
"Apartamento T3 Venda em Braga (Maximinos, Sé e Cividade),Braga",15342095,Apartamento,119 000 ,1 082 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Rua de Caires,41.54693,-8.433993,T3,2,110 m²,110 m²,1988,D,,True,,True,,,,True,,Usado,,,,,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 em Braga, S. Vítor",15275169,Apartamento,145 000 ,1 368 ,Braga (distrito),Braga,São Victor,Praça São José - São Victor,41.560709443933,-8.4109218637346,T3,2,106 m²,128 m²,1987,,,,,,,,,,,,,,,,não,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oferta da escritura. Moradia T5 a 5 minutos do Centro His...,15403581,Moradia,150 000 ,417 ,Braga (distrito),Braga,"Real, Dume e Semelhe",,41.5720715,-8.4312468,T5,4 ou mais,360 m²,450 m²,1994,D,,,True,,True,,True,True,,Usado,True,,,,não,,,,,,True,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vende-se Apartamento T3, Ferreiros - Braga",15289845,Apartamento,190 000 ,1 357 ,Braga (distrito),Braga,Ferreiros e Gondizalves,,41.535376,-8.448388,T3,3,140 m²,177 m²,,B,,,,,,,,,,Novo,,,,True,não,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 na Sé - Renovado,15355922,Apartamento,156 000 ,1 200 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua da Feira,41.555721282959,-8.4356002807617,T3,2,130 m²,140 m²,2020,B,,True,,True,,,True,True,True,Renovado,,,,True,não,,True,,,,True,,,,,,True,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T3 Nova em Lamaçães, Braga",15381496,Moradia,297 500 ,1 534 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",Rua do Moinho,41.542360878925024,-8.391225215591431,T3,4 ou mais,194 m²,277 m²,2020,B,True,True,,True,,,True,True,True,,True,,,,,,,,True,,,,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 Cobertura Novo,15381374,Apartamento,387 000 ,2 048 ,Braga (distrito),Braga,São Vicente,Rua de São Barnabé - São Vicente,41.554325760195816,-8.421986673375335,T3,2,189 m²,149 m²,2019,A,True,True,,,,,,,True,Novo,,,True,True,,,True,,,,True,,,,,,,True,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T6 com lote de 3000 m2 em Pousada-Braga,15373790,Moradia,430 000 ,1 419 ,Braga (distrito),Braga,Crespos e Pousada,Rua da Escola,41.5982274740308,-8.337338314300535,T6,4 ou mais,303 m²,433 m²,2006,A+,,True,True,,True,,True,,,Usado,True,,,,,True,,,,,True,,,,,,True,True,,,,,True,True,,,,True,True,,True,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T4 no Centro Histórico de Braga,15367676,Moradia,399 900 ,3 333 ,Braga (distrito),Braga,São Vicente,Praça Mouzinho de Albuquerque - São José de São Lázaro,41.55327865348447,-8.420479811010368,T4,3,120 m²,180 m²,1937,E,True,True,,,,,True,True,True,Usado,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2 Renovado, Centro de Braga",15362263,Apartamento,139 000 ,1 986 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Praça do Condestável,41.5419786,-8.4321986,T2,1,70 m²,70 m²,,,,,,,,,,,,,,,,,não,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2, Nogueiró, Braga",15353047,Apartamento,127 500 ,1 262 ,Braga (distrito),Braga,Nogueiró e Tenões,Rua José Maria Ottony,41.5534792,-8.3958794,T2,2,101 m²,123 m²,1995,,,,,,True,,,,,,,,,,não,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplo apartamento T3 com sotão perto do centro de Braga,15187049,Apartamento,149 900 ,967 ,Braga (distrito),Braga,São Victor,Rua Faustino Ferrador - São Victor,41.562013529319,-8.4086731786246,T3,2,155 m²,155 m²,2003,,,True,True,True,True,,,,,,,True,,,não,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2, como novo, com garagem",15329131,Apartamento,127 500 ,1 342 ,Braga (distrito),Braga,Lomar e Arcos,Rua José Estevão - Lomar,41.535711387013,-8.4339260606667,T2,1,95 m²,110 m²,1992,,,True,True,,,,,,,,,,,,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
