Nome,Id,Tipo de imóvel,Preço,Preço m/2,Distrito,Concelho,Freguesia,Rua,Latitude,Longitude,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
"Apartamento T2, Gualtar",15509217,Apartamento,630 ,9 ,Braga (distrito),Braga,Gualtar,Travessa da Poça - Gualtar,41.5638237,-8.391115,T2,1,70 m²,"87,70 m²",,,,,True,True,,,,True,True,Usado,,,True,,,,True,,,,,,,,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2, Freguesia da Se, Braga",15507053,Apartamento,550 ,6 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,41.551477963806,-8.4350363120313,T2,1,85 m²,103 m²,,D,,True,True,,,,,True,,Usado,,,,,,True,True,,,,,,,,,,True,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1+1 totalmente renovado no centro de Braga,15493459,Apartamento,500 ,8 ,Braga (distrito),Braga,São Victor,Rua do Sardoal - São Victor,41.552593811027,-8.4185336281854,T2,1,59 m²,59 m²,1977,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2 Duplex - centro cidade,15510172,Apartamento,750 ,7 ,Braga (distrito),Braga,Ferreiros e Gondizalves,Rua Padre Cruz - Ferreiros,41.54276369015853,-8.435258194448744,T2,3,115 m²,115 m²,2020,C,True,True,,,,,True,True,True,Novo,,True,True,True,,True,,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0 Duplex Novo para Arrendamento,15484553,Apartamento,750 ,12 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),,41.550725,-8.425129,T0,1,65 m²,65 m²,2019,B-,,True,,,,,,,,Novo,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1+1 totalmente renovado no centro de Braga,15474444,Apartamento,500 ,8 ,Braga (distrito),Braga,São Victor,Rua do Sardoal - São Victor,41.552593811027,-8.4185336281854,T2,1,59 m²,59 m²,1977,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T1 para arrendamento,15376966,Apartamento,450 ,7 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Rua Alfredo Vieira Gomes,41.549179077148,-8.4369401931763,T1,1,62 m²,,1988,Isento,,True,,True,,,,True,True,Renovado,,,,,,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 - Real,15446131,Apartamento,760 ,7 ,Braga (distrito),Braga,"Real, Dume e Semelhe",Rua Padre Freitas - Real,41.559379577637,-8.4352998733521,T3,2,110 m²,140 m²,2008,,,,,True,,,True,True,True,Novo,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 frente ás piscinas da Rodovia em Braga,15484173,Apartamento,700 ,5 ,Braga (distrito),Braga,São Victor,Rua Cândido de Oliveira - São Victor,41.549549008474,-8.4082078328433,T3,2,135 m²,145 m²,1995,,True,True,,,,,,True,True,Usado,True,,True,True,,,True,,,,,,,,,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrendamento T2 Mobilado e Equipado em São Victor,15477448,Apartamento,600 ,7 ,Braga (distrito),Braga,São Victor,Praça Ricardo da Rocha - São Victor,41.54967880249,-8.4046297073364,T2,2,88 m²,90 m²,1999,,,True,,True,True,,True,True,True,Usado,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrendamento Apartamento T3 em Nogueira,15477447,Apartamento,590 ,7 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",Rua Antero de Figueiredo,41.533168792725,-8.4033203125,T3,2,89 m²,,1989,,,True,,True,,,True,True,True,Usado,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2 arrendar centro da cidade de Braga equipado com electrodomésticos,15474337,Apartamento,700 ,7 ,Braga (distrito),Braga,Braga (São José de São Lázaro e São João do Souto),Rua dos Chãos,41.552686403101,-8.42357078356,T2,2,100 m²,105 m²,2015,B,True,True,,True,,,True,True,True,Renovado,,,,,,,True,,,,,,,,,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T3 com garagem, todo mobilado e equipado em S. Vítor, Braga",15461294,Apartamento,750 ,6 ,Braga (distrito),Braga,São Victor,,41.562236869402,-8.4058933854887,T3,2,118 m²,134 m²,1995,,,True,True,,True,,,,,Renovado,,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrenda-se Apartamento T3 Duplex - Rua do Caíres - Maximinos,15405361,Apartamento,875 ,5 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",Rua de Caires,41.546539306641,-8.4337301254272,T3,3,185 m²,209 m²,1981,,,,,True,,,True,,,Novo,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T5 transformado em T4, para arrendamento, em Maximinos, Braga",15497713,Apartamento,850 ,5 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,41.543441349014,-8.4324789027966,T4,3,171 m²,193 m²,1979,D,,True,True,,,,,True,,Renovado,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T2 para arrendamento na Cividade, Braga",15492025,Moradia,950 ,1 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,41.547113606222,-8.4306516201091,T2,1,1 065 m²,213 m²,,C,,True,True,,,,,,,Renovado,,,,,,True,,,,,,,,,,,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
