Nome,Finalidade,Tipo de Imóvel,Estado,Preço de venda,Distrito,Concelho,Freguesia,Referência
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Usado,220.000 €,Braga,Braga,Nogueiró e Tenões,285200048
Apartamento 3 quartos,Venda,Apartamento,Novo,70.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260200100
Moradia em Banda,Venda,Moradia em Banda,Novo,110.000 €,Braga,Braga,"Real, Dume e Semelhe",260200099
Lote,Venda,Lote,N/D,88.500 €,Braga,Braga,Este (São Pedro e São Mamede),285200047
Moradia Geminada 4 quartos,Venda,Moradia Geminada,Construção,280.000 €,Braga,Braga,Palmeira,260200097
Lote,Venda,Lote,N/D,73.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",314200106
Moradia Isolada 4 quartos,Venda,Moradia Isolada,Novo,649.000 €,Braga,Braga,Priscos,314200105
Terreno com ruina,Venda,Terreno com ruina,N/D,39.000 €,Braga,Braga,Vilaça e Fradelos,314200104
Terreno Rústico,Venda,Terreno Rústico,N/D,299.000 €,Braga,Braga,Crespos e Pousada,285200046
Parqueamento,Venda,Parqueamento,Novo,215.000 €,Braga,Braga,Braga (São Vicente),260200095
Apartamento 4 quartos,Venda,Apartamento,Usado,250.000 €,Braga,Braga,Braga (São Vicente),260200094
Prédio,Venda,Prédio,Usado,195.000 €,Braga,Braga,Braga (São Vicente),260200093
Loja,Venda,Loja,Usado,69.000 €,Braga,Braga,Braga (São Vicente),260200086
Apartamento 3 quartos,Venda,Apartamento,Usado,200.000 €,Braga,Braga,Braga (São Vicente),260200084
Apartamento 3 quartos,Venda,Apartamento,Usado,145.000 €,Braga,Braga,Braga (São Vicente),260200081
Moradia em Banda 4 quartos,Venda,Moradia em Banda,Usado,250.000 €,Braga,Braga,Braga (São Vicente),260200080
Apartamento 3 quartos,Venda,Apartamento,Usado,140.000 €,Braga,Braga,Braga (São Vicente),260200079
Loja,Venda,Loja,Usado,82.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260200078
Lote,Venda,Lote,N/D,140.000 €,Braga,Braga,Merelim (São Pedro) e Frossos,260200077
