Nome,Preço,Preço m/2,Distrito,Concelho,Freguesia,Tipologia,Nº Casas de Banho,Área útil m/2,Área bruta m/2,Ano construção,Certificado energético,Armário,Cozinha equipada,Garagem box,Gás canalizado,Lareira,Marquise,Suite,Varanda,Vista de cidade,Condição,Despensa,Arrecadação,Porta blindada,Video Porteiro,Empreendimento,Ar condicionado,Elevador,Estores elétricos,Fibra ótica,Pré-instalação de ar condicionado,Terraço,Área de terreno m/2,Churrasco,Árvores de fruto,Sotão,Cave,Jardim,Aquecimento central,Caldeira,Acessibilidade a pessoas com mobilidade condicionada,Box 2 carros,Detetor de gás,Painéis solares,Recuperação de calor,Vista de campo/serra,Box 1 carro,Portaria,Estacionamento,Piso radiante,Som ambiente,Aspiração central,Finalidade,Tipo de terreno,Acesso pavimentado,Asfaltado,Iluminação pública,Zona arborizada,Declive,Ruína,Alarme,Furo de água,Domótica,Casa das máquinas,Condomínio Fechado,Parque infantil,Piscina,Piscina Privada,Termoacumulador,Garagem exterior,Mobilado,Hidromassagem/jacuzzi,Quintal/horta,Ginásio,Kitchenette,Vigilância/segurança,Campo de ténis,Segurança 24 horas,Vedação,Parqueamento (1 carro),Ligação a rede de água,Ligação a rede de saneamento,Ligação a rede elétrica,Animais permitidos,Parqueamento (2 carros),Cofre,Vista de rio,Nº divisões,Tipo,Pisos,Com WC,Montra,Anexo habitacional,Detetor de incêndio,Detetor de Inundução,Vista de cidade,Área (m/2),Vista de mar,Jacuzzi,Património classificado,Adaptada a mobilidade reduzida,Com cozinha,Imóvel de banca,Vista de lago,Fossa séptica,Licensa de construção,Acesso a veículos pesados,Área administrativa,Copa,Recepção,Refeitório,Sala de reuniões,Área florestal,Hidromassagem,Percurso de água,Armazém,Vista de Serra,Adaptado a mobilidade reduzida,Terra batida,Video vigilância,Espaço frigorífico,Espaço para arrumação,Casa de banho partilhada,Poço,Sótão,Paisagem protegida
Apartamento T3 Novo na malha do Centro Histórico,170 000 ,1 532 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,111 m²,,,,True,,,True,,,True,,,,,,,True,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T2+2 Nova em pleno Centro Histórico de Braga,499 500 ,2 144 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,233 m²,233 m²,,,,True,True,True,,,True,True,True,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento T3 Cobertura em São Vitor - Braga,124 900 ,961 ,Braga (distrito),Braga,São Victor,,,130 m²,151 m²,,,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moradia T4 no Centro Histórico de Braga,399 900 ,3 333 ,Braga (distrito),Braga,São Vicente,,,120 m²,180 m²,,,True,True,,,,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2 Renovado, Centro de Braga",139 000 ,1 986 ,Braga (distrito),Braga,"Braga (Maximinos, Sé e Cividade)",,,70 m²,70 m²,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2, Nogueiró, Braga",127 500 ,1 262 ,Braga (distrito),Braga,Nogueiró e Tenões,,,101 m²,123 m²,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apartamento T2, como novo, com garagem",127 500 ,1 342 ,Braga (distrito),Braga,Lomar e Arcos,,,95 m²,110 m²,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moradia T4 em Fraião, Braga",329 000 ,1 134 ,Braga (distrito),Braga,"Nogueira, Fraião e Lamaçães",,,290 m²,158 m²,,,,True,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA DE CONSTRUÇÃO EM  1186M2 DE LOGRADOURO.,147 000 ,401 ,Braga (distrito),Braga,Morreira e Trandeiras,,,367 m²,1 186 m²,,,,,True,,,True,,True,,,True,,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2 Centro Histórico em Braga,175 000 ,1 458 ,Braga (distrito),Braga,São Vicente,,,120 m²,,,,,True,,,,True,True,True,True,,True,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
